cut,figure,category,note
,franklin,Scientific Revolution & Enlightenment,
,lavoisier,Scientific Revolution & Enlightenment,
,linnaeus,Scientific Revolution & Enlightenment,
,boyle,Scientific Revolution & Enlightenment,
,hooke,Scientific Revolution & Enlightenment,
,harvey,Scientific Revolution & Enlightenment,
,vesalius,Scientific Revolution & Enlightenment,
,paracelsus,Scientific Revolution & Enlightenment,
,bach,Scientific Revolution & Enlightenment,
,elizabeth,Rulers & Empires,
,henrytudor,Rulers & Empires,
,catherine,Rulers & Empires,Already contains 'the great'
,peter,Rulers & Empires,Already contains 'great'
,suleiman,Rulers & Empires,
,akbar,Rulers & Empires,
,shahjahan,Rulers & Empires,
,babur,Rulers & Empires,
,,,
,pachacuti,Rulers & Empires,
,moctezuma,Rulers & Empires,Colonial-contact figure — review
,atahualpa,Rulers & Empires,Colonial-contact figure — review
,isabella,Rulers & Empires,Expulsion/Inquisition — review
,ferdinand,Rulers & Empires,Expulsion/Inquisition — review
